date,month,day,day_of_year,year,released_cfs,released_cms,accord_status
12/11/78,12,11,345,1978,25,0.708,pre_accord
12/12/78,12,12,346,1978,25,0.708,pre_accord
12/13/78,12,13,347,1978,25,0.708,pre_accord
12/14/78,12,14,348,1978,25,0.708,pre_accord
12/15/78,12,15,349,1978,25,0.708,pre_accord
12/16/78,12,16,350,1978,25,0.708,pre_accord
12/17/78,12,17,351,1978,25,0.708,pre_accord
12/18/78,12,18,352,1978,25,0.708,pre_accord
12/19/78,12,19,353,1978,25,0.708,pre_accord
12/20/78,12,20,354,1978,25,0.708,pre_accord
12/21/78,12,21,355,1978,25,0.708,pre_accord
12/22/78,12,22,356,1978,25,0.708,pre_accord
12/23/78,12,23,357,1978,25,0.708,pre_accord
12/24/78,12,24,358,1978,25,0.708,pre_accord
12/25/78,12,25,359,1978,25,0.708,pre_accord
12/26/78,12,26,360,1978,25,0.708,pre_accord
12/27/78,12,27,361,1978,25,0.708,pre_accord
12/28/78,12,28,362,1978,25,0.708,pre_accord
12/29/78,12,29,363,1978,25,0.708,pre_accord
12/30/78,12,30,364,1978,25,0.708,pre_accord
12/31/78,12,31,365,1978,25,0.708,pre_accord
1/1/79,1,1,1,1979,25,0.708,pre_accord
1/2/79,1,2,2,1979,25,0.708,pre_accord
1/3/79,1,3,3,1979,25,0.708,pre_accord
1/4/79,1,4,4,1979,25,0.708,pre_accord
1/5/79,1,5,5,1979,25,0.708,pre_accord
1/6/79,1,6,6,1979,25,0.708,pre_accord
1/7/79,1,7,7,1979,25,0.708,pre_accord
1/8/79,1,8,8,1979,25,0.708,pre_accord
1/9/79,1,9,9,1979,25,0.708,pre_accord
1/10/79,1,10,10,1979,25,0.708,pre_accord
1/11/79,1,11,11,1979,93,2.633,pre_accord
1/12/79,1,12,12,1979,59,1.671,pre_accord
1/13/79,1,13,13,1979,25,0.708,pre_accord
1/14/79,1,14,14,1979,72,2.039,pre_accord
1/15/79,1,15,15,1979,255,7.221,pre_accord
1/16/79,1,16,16,1979,51,1.444,pre_accord
1/17/79,1,17,17,1979,25,0.708,pre_accord
1/18/79,1,18,18,1979,25,0.708,pre_accord
1/19/79,1,19,19,1979,25,0.708,pre_accord
1/20/79,1,20,20,1979,25,0.708,pre_accord
1/21/79,1,21,21,1979,25,0.708,pre_accord
1/22/79,1,22,22,1979,25,0.708,pre_accord
1/23/79,1,23,23,1979,25,0.708,pre_accord
1/24/79,1,24,24,1979,25,0.708,pre_accord
1/25/79,1,25,25,1979,25,0.708,pre_accord
1/26/79,1,26,26,1979,25,0.708,pre_accord
1/27/79,1,27,27,1979,25,0.708,pre_accord
1/28/79,1,28,28,1979,25,0.708,pre_accord
1/29/79,1,29,29,1979,25,0.708,pre_accord
1/30/79,1,30,30,1979,25,0.708,pre_accord
1/31/79,1,31,31,1979,25,0.708,pre_accord
2/1/79,2,1,32,1979,18,0.51,pre_accord
2/2/79,2,2,33,1979,16,0.453,pre_accord
2/3/79,2,3,34,1979,16,0.453,pre_accord
2/4/79,2,4,35,1979,16,0.453,pre_accord
2/5/79,2,5,36,1979,16,0.453,pre_accord
2/6/79,2,6,37,1979,16,0.453,pre_accord
2/7/79,2,7,38,1979,16,0.453,pre_accord
2/8/79,2,8,39,1979,16,0.453,pre_accord
2/9/79,2,9,40,1979,16,0.453,pre_accord
2/10/79,2,10,41,1979,16,0.453,pre_accord
2/11/79,2,11,42,1979,16,0.453,pre_accord
2/12/79,2,12,43,1979,16,0.453,pre_accord
2/13/79,2,13,44,1979,154,4.361,pre_accord
2/14/79,2,14,45,1979,290,8.212,pre_accord
2/15/79,2,15,46,1979,50,1.416,pre_accord
2/16/79,2,16,47,1979,34,0.963,pre_accord
2/17/79,2,17,48,1979,16,0.453,pre_accord
2/18/79,2,18,49,1979,16,0.453,pre_accord
2/19/79,2,19,50,1979,16,0.453,pre_accord
2/20/79,2,20,51,1979,190,5.38,pre_accord
2/21/79,2,21,52,1979,185,5.239,pre_accord
2/22/79,2,22,53,1979,110,3.115,pre_accord
2/23/79,2,23,54,1979,80,2.265,pre_accord
2/24/79,2,24,55,1979,29,0.821,pre_accord
2/25/79,2,25,56,1979,16,0.453,pre_accord
2/26/79,2,26,57,1979,16,0.453,pre_accord
2/27/79,2,27,58,1979,16,0.453,pre_accord
2/28/79,2,28,59,1979,16,0.453,pre_accord
3/1/79,3,1,60,1979,24,0.68,pre_accord
3/2/79,3,2,61,1979,26,0.736,pre_accord
3/3/79,3,3,62,1979,26,0.736,pre_accord
3/4/79,3,4,63,1979,26,0.736,pre_accord
3/5/79,3,5,64,1979,26,0.736,pre_accord
3/6/79,3,6,65,1979,26,0.736,pre_accord
3/7/79,3,7,66,1979,26,0.736,pre_accord
3/8/79,3,8,67,1979,26,0.736,pre_accord
3/9/79,3,9,68,1979,26,0.736,pre_accord
3/10/79,3,10,69,1979,26,0.736,pre_accord
3/11/79,3,11,70,1979,26,0.736,pre_accord
3/12/79,3,12,71,1979,26,0.736,pre_accord
3/13/79,3,13,72,1979,26,0.736,pre_accord
3/14/79,3,14,73,1979,26,0.736,pre_accord
3/15/79,3,15,74,1979,26,0.736,pre_accord
3/16/79,3,16,75,1979,26,0.736,pre_accord
3/17/79,3,17,76,1979,26,0.736,pre_accord
3/18/79,3,18,77,1979,26,0.736,pre_accord
3/19/79,3,19,78,1979,26,0.736,pre_accord
3/20/79,3,20,79,1979,26,0.736,pre_accord
3/21/79,3,21,80,1979,26,0.736,pre_accord
3/22/79,3,22,81,1979,26,0.736,pre_accord
3/23/79,3,23,82,1979,26,0.736,pre_accord
3/24/79,3,24,83,1979,26,0.736,pre_accord
3/25/79,3,25,84,1979,26,0.736,pre_accord
3/26/79,3,26,85,1979,26,0.736,pre_accord
3/27/79,3,27,86,1979,113,3.2,pre_accord
3/28/79,3,28,87,1979,26,0.736,pre_accord
3/29/79,3,29,88,1979,26,0.736,pre_accord
3/30/79,3,30,89,1979,26,0.736,pre_accord
3/31/79,3,31,90,1979,26,0.736,pre_accord
4/1/79,4,1,91,1979,41,1.161,pre_accord
4/2/79,4,2,92,1979,46,1.303,pre_accord
4/3/79,4,3,93,1979,46,1.303,pre_accord
4/4/79,4,4,94,1979,46,1.303,pre_accord
4/5/79,4,5,95,1979,46,1.303,pre_accord
4/6/79,4,6,96,1979,46,1.303,pre_accord
4/7/79,4,7,97,1979,46,1.303,pre_accord
4/8/79,4,8,98,1979,46,1.303,pre_accord
4/9/79,4,9,99,1979,46,1.303,pre_accord
4/10/79,4,10,100,1979,46,1.303,pre_accord
4/11/79,4,11,101,1979,46,1.303,pre_accord
4/12/79,4,12,102,1979,46,1.303,pre_accord
4/13/79,4,13,103,1979,46,1.303,pre_accord
4/14/79,4,14,104,1979,46,1.303,pre_accord
4/15/79,4,15,105,1979,46,1.303,pre_accord
4/16/79,4,16,106,1979,46,1.303,pre_accord
4/17/79,4,17,107,1979,46,1.303,pre_accord
4/18/79,4,18,108,1979,46,1.303,pre_accord
4/19/79,4,19,109,1979,46,1.303,pre_accord
4/20/79,4,20,110,1979,46,1.303,pre_accord
4/21/79,4,21,111,1979,46,1.303,pre_accord
4/22/79,4,22,112,1979,46,1.303,pre_accord
4/23/79,4,23,113,1979,46,1.303,pre_accord
4/24/79,4,24,114,1979,46,1.303,pre_accord
4/25/79,4,25,115,1979,46,1.303,pre_accord
4/26/79,4,26,116,1979,46,1.303,pre_accord
4/27/79,4,27,117,1979,46,1.303,pre_accord
4/28/79,4,28,118,1979,46,1.303,pre_accord
4/29/79,4,29,119,1979,46,1.303,pre_accord
4/30/79,4,30,120,1979,46,1.303,pre_accord
5/1/79,5,1,121,1979,44,1.246,pre_accord
5/2/79,5,2,122,1979,43,1.218,pre_accord
5/3/79,5,3,123,1979,43,1.218,pre_accord
5/4/79,5,4,124,1979,43,1.218,pre_accord
5/5/79,5,5,125,1979,43,1.218,pre_accord
5/6/79,5,6,126,1979,43,1.218,pre_accord
5/7/79,5,7,127,1979,43,1.218,pre_accord
5/8/79,5,8,128,1979,43,1.218,pre_accord
5/9/79,5,9,129,1979,43,1.218,pre_accord
5/10/79,5,10,130,1979,43,1.218,pre_accord
5/11/79,5,11,131,1979,43,1.218,pre_accord
5/12/79,5,12,132,1979,43,1.218,pre_accord
5/13/79,5,13,133,1979,43,1.218,pre_accord
5/14/79,5,14,134,1979,43,1.218,pre_accord
5/15/79,5,15,135,1979,43,1.218,pre_accord
5/16/79,5,16,136,1979,43,1.218,pre_accord
5/17/79,5,17,137,1979,43,1.218,pre_accord
5/18/79,5,18,138,1979,43,1.218,pre_accord
5/19/79,5,19,139,1979,43,1.218,pre_accord
5/20/79,5,20,140,1979,43,1.218,pre_accord
5/21/79,5,21,141,1979,43,1.218,pre_accord
5/22/79,5,22,142,1979,43,1.218,pre_accord
5/23/79,5,23,143,1979,43,1.218,pre_accord
5/24/79,5,24,144,1979,43,1.218,pre_accord
5/25/79,5,25,145,1979,43,1.218,pre_accord
5/26/79,5,26,146,1979,43,1.218,pre_accord
5/27/79,5,27,147,1979,43,1.218,pre_accord
5/28/79,5,28,148,1979,43,1.218,pre_accord
5/29/79,5,29,149,1979,43,1.218,pre_accord
5/30/79,5,30,150,1979,43,1.218,pre_accord
5/31/79,5,31,151,1979,43,1.218,pre_accord
6/1/79,6,1,152,1979,43,1.218,pre_accord
6/2/79,6,2,153,1979,43,1.218,pre_accord
6/3/79,6,3,154,1979,43,1.218,pre_accord
6/4/79,6,4,155,1979,43,1.218,pre_accord
6/5/79,6,5,156,1979,43,1.218,pre_accord
6/6/79,6,6,157,1979,43,1.218,pre_accord
6/7/79,6,7,158,1979,43,1.218,pre_accord
6/8/79,6,8,159,1979,43,1.218,pre_accord
6/9/79,6,9,160,1979,43,1.218,pre_accord
6/10/79,6,10,161,1979,43,1.218,pre_accord
6/11/79,6,11,162,1979,43,1.218,pre_accord
6/12/79,6,12,163,1979,43,1.218,pre_accord
6/13/79,6,13,164,1979,43,1.218,pre_accord
6/14/79,6,14,165,1979,43,1.218,pre_accord
6/15/79,6,15,166,1979,43,1.218,pre_accord
6/16/79,6,16,167,1979,43,1.218,pre_accord
6/17/79,6,17,168,1979,43,1.218,pre_accord
6/18/79,6,18,169,1979,43,1.218,pre_accord
6/19/79,6,19,170,1979,43,1.218,pre_accord
6/20/79,6,20,171,1979,43,1.218,pre_accord
6/21/79,6,21,172,1979,43,1.218,pre_accord
6/22/79,6,22,173,1979,43,1.218,pre_accord
6/23/79,6,23,174,1979,43,1.218,pre_accord
6/24/79,6,24,175,1979,43,1.218,pre_accord
6/25/79,6,25,176,1979,43,1.218,pre_accord
6/26/79,6,26,177,1979,43,1.218,pre_accord
6/27/79,6,27,178,1979,43,1.218,pre_accord
6/28/79,6,28,179,1979,43,1.218,pre_accord
6/29/79,6,29,180,1979,43,1.218,pre_accord
6/30/79,6,30,181,1979,43,1.218,pre_accord
7/1/79,7,1,182,1979,43,1.218,pre_accord
7/2/79,7,2,183,1979,43,1.218,pre_accord
7/3/79,7,3,184,1979,43,1.218,pre_accord
7/4/79,7,4,185,1979,43,1.218,pre_accord
7/5/79,7,5,186,1979,43,1.218,pre_accord
7/6/79,7,6,187,1979,43,1.218,pre_accord
7/7/79,7,7,188,1979,43,1.218,pre_accord
7/8/79,7,8,189,1979,43,1.218,pre_accord
7/9/79,7,9,190,1979,43,1.218,pre_accord
7/10/79,7,10,191,1979,43,1.218,pre_accord
7/11/79,7,11,192,1979,43,1.218,pre_accord
7/12/79,7,12,193,1979,43,1.218,pre_accord
7/13/79,7,13,194,1979,43,1.218,pre_accord
7/14/79,7,14,195,1979,43,1.218,pre_accord
7/15/79,7,15,196,1979,43,1.218,pre_accord
7/16/79,7,16,197,1979,43,1.218,pre_accord
7/17/79,7,17,198,1979,43,1.218,pre_accord
7/18/79,7,18,199,1979,43,1.218,pre_accord
7/19/79,7,19,200,1979,43,1.218,pre_accord
7/20/79,7,20,201,1979,43,1.218,pre_accord
7/21/79,7,21,202,1979,43,1.218,pre_accord
7/22/79,7,22,203,1979,43,1.218,pre_accord
7/23/79,7,23,204,1979,43,1.218,pre_accord
7/24/79,7,24,205,1979,43,1.218,pre_accord
7/25/79,7,25,206,1979,43,1.218,pre_accord
7/26/79,7,26,207,1979,43,1.218,pre_accord
7/27/79,7,27,208,1979,43,1.218,pre_accord
7/28/79,7,28,209,1979,43,1.218,pre_accord
7/29/79,7,29,210,1979,43,1.218,pre_accord
7/30/79,7,30,211,1979,43,1.218,pre_accord
7/31/79,7,31,212,1979,43,1.218,pre_accord
8/1/79,8,1,213,1979,36,1.019,pre_accord
8/2/79,8,2,214,1979,34,0.963,pre_accord
8/3/79,8,3,215,1979,34,0.963,pre_accord
8/4/79,8,4,216,1979,34,0.963,pre_accord
8/5/79,8,5,217,1979,34,0.963,pre_accord
8/6/79,8,6,218,1979,34,0.963,pre_accord
8/7/79,8,7,219,1979,34,0.963,pre_accord
8/8/79,8,8,220,1979,34,0.963,pre_accord
8/9/79,8,9,221,1979,34,0.963,pre_accord
8/10/79,8,10,222,1979,34,0.963,pre_accord
8/11/79,8,11,223,1979,34,0.963,pre_accord
8/12/79,8,12,224,1979,34,0.963,pre_accord
8/13/79,8,13,225,1979,34,0.963,pre_accord
8/14/79,8,14,226,1979,34,0.963,pre_accord
8/15/79,8,15,227,1979,34,0.963,pre_accord
8/16/79,8,16,228,1979,34,0.963,pre_accord
8/17/79,8,17,229,1979,34,0.963,pre_accord
8/18/79,8,18,230,1979,34,0.963,pre_accord
8/19/79,8,19,231,1979,34,0.963,pre_accord
8/20/79,8,20,232,1979,34,0.963,pre_accord
8/21/79,8,21,233,1979,34,0.963,pre_accord
8/22/79,8,22,234,1979,34,0.963,pre_accord
8/23/79,8,23,235,1979,34,0.963,pre_accord
8/24/79,8,24,236,1979,34,0.963,pre_accord
8/25/79,8,25,237,1979,34,0.963,pre_accord
8/26/79,8,26,238,1979,34,0.963,pre_accord
8/27/79,8,27,239,1979,34,0.963,pre_accord
8/28/79,8,28,240,1979,34,0.963,pre_accord
8/29/79,8,29,241,1979,34,0.963,pre_accord
8/30/79,8,30,242,1979,34,0.963,pre_accord
8/31/79,8,31,243,1979,34,0.963,pre_accord
9/1/79,9,1,244,1979,23,0.651,pre_accord
9/2/79,9,2,245,1979,20,0.566,pre_accord
9/3/79,9,3,246,1979,20,0.566,pre_accord
9/4/79,9,4,247,1979,20,0.566,pre_accord
9/5/79,9,5,248,1979,20,0.566,pre_accord
9/6/79,9,6,249,1979,20,0.566,pre_accord
9/7/79,9,7,250,1979,20,0.566,pre_accord
9/8/79,9,8,251,1979,20,0.566,pre_accord
9/9/79,9,9,252,1979,20,0.566,pre_accord
9/10/79,9,10,253,1979,20,0.566,pre_accord
9/11/79,9,11,254,1979,20,0.566,pre_accord
9/12/79,9,12,255,1979,20,0.566,pre_accord
9/13/79,9,13,256,1979,20,0.566,pre_accord
9/14/79,9,14,257,1979,20,0.566,pre_accord
9/15/79,9,15,258,1979,20,0.566,pre_accord
9/16/79,9,16,259,1979,20,0.566,pre_accord
9/17/79,9,17,260,1979,20,0.566,pre_accord
9/18/79,9,18,261,1979,20,0.566,pre_accord
9/19/79,9,19,262,1979,20,0.566,pre_accord
9/20/79,9,20,263,1979,20,0.566,pre_accord
9/21/79,9,21,264,1979,20,0.566,pre_accord
9/22/79,9,22,265,1979,20,0.566,pre_accord
9/23/79,9,23,266,1979,20,0.566,pre_accord
9/24/79,9,24,267,1979,20,0.566,pre_accord
9/25/79,9,25,268,1979,20,0.566,pre_accord
9/26/79,9,26,269,1979,20,0.566,pre_accord
9/27/79,9,27,270,1979,20,0.566,pre_accord
9/28/79,9,28,271,1979,20,0.566,pre_accord
9/29/79,9,29,272,1979,20,0.566,pre_accord
9/30/79,9,30,273,1979,20,0.566,pre_accord
10/1/79,10,1,274,1979,20,0.566,pre_accord
10/2/79,10,2,275,1979,20,0.566,pre_accord
10/3/79,10,3,276,1979,20,0.566,pre_accord
10/4/79,10,4,277,1979,20,0.566,pre_accord
10/5/79,10,5,278,1979,20,0.566,pre_accord
10/6/79,10,6,279,1979,20,0.566,pre_accord
10/7/79,10,7,280,1979,20,0.566,pre_accord
10/8/79,10,8,281,1979,20,0.566,pre_accord
10/9/79,10,9,282,1979,20,0.566,pre_accord
10/10/79,10,10,283,1979,20,0.566,pre_accord
10/11/79,10,11,284,1979,20,0.566,pre_accord
10/12/79,10,12,285,1979,20,0.566,pre_accord
10/13/79,10,13,286,1979,20,0.566,pre_accord
10/14/79,10,14,287,1979,20,0.566,pre_accord
10/15/79,10,15,288,1979,20,0.566,pre_accord
10/16/79,10,16,289,1979,20,0.566,pre_accord
10/17/79,10,17,290,1979,20,0.566,pre_accord
10/18/79,10,18,291,1979,20,0.566,pre_accord
10/19/79,10,19,292,1979,20,0.566,pre_accord
10/20/79,10,20,293,1979,20,0.566,pre_accord
10/21/79,10,21,294,1979,20,0.566,pre_accord
10/22/79,10,22,295,1979,20,0.566,pre_accord
10/23/79,10,23,296,1979,20,0.566,pre_accord
10/24/79,10,24,297,1979,20,0.566,pre_accord
10/25/79,10,25,298,1979,20,0.566,pre_accord
10/26/79,10,26,299,1979,20,0.566,pre_accord
10/27/79,10,27,300,1979,20,0.566,pre_accord
10/28/79,10,28,301,1979,20,0.566,pre_accord
10/29/79,10,29,302,1979,20,0.566,pre_accord
10/30/79,10,30,303,1979,20,0.566,pre_accord
10/31/79,10,31,304,1979,20,0.566,pre_accord
11/1/79,11,1,305,1979,23,0.651,pre_accord
11/2/79,11,2,306,1979,25,0.708,pre_accord
11/3/79,11,3,307,1979,25,0.708,pre_accord
11/4/79,11,4,308,1979,25,0.708,pre_accord
11/5/79,11,5,309,1979,25,0.708,pre_accord
11/6/79,11,6,310,1979,25,0.708,pre_accord
11/7/79,11,7,311,1979,25,0.708,pre_accord
11/8/79,11,8,312,1979,25,0.708,pre_accord
11/9/79,11,9,313,1979,25,0.708,pre_accord
11/10/79,11,10,314,1979,25,0.708,pre_accord
11/11/79,11,11,315,1979,25,0.708,pre_accord
11/12/79,11,12,316,1979,25,0.708,pre_accord
11/13/79,11,13,317,1979,25,0.708,pre_accord
11/14/79,11,14,318,1979,25,0.708,pre_accord
11/15/79,11,15,319,1979,25,0.708,pre_accord
11/16/79,11,16,320,1979,25,0.708,pre_accord
11/17/79,11,17,321,1979,25,0.708,pre_accord
11/18/79,11,18,322,1979,25,0.708,pre_accord
11/19/79,11,19,323,1979,25,0.708,pre_accord
11/20/79,11,20,324,1979,25,0.708,pre_accord
11/21/79,11,21,325,1979,25,0.708,pre_accord
11/22/79,11,22,326,1979,25,0.708,pre_accord
11/23/79,11,23,327,1979,25,0.708,pre_accord
11/24/79,11,24,328,1979,25,0.708,pre_accord
11/25/79,11,25,329,1979,25,0.708,pre_accord
11/26/79,11,26,330,1979,25,0.708,pre_accord
11/27/79,11,27,331,1979,25,0.708,pre_accord
11/28/79,11,28,332,1979,25,0.708,pre_accord
11/29/79,11,29,333,1979,25,0.708,pre_accord
11/30/79,11,30,334,1979,25,0.708,pre_accord
12/1/79,12,1,335,1979,25,0.708,pre_accord
12/2/79,12,2,336,1979,25,0.708,pre_accord
12/3/79,12,3,337,1979,25,0.708,pre_accord
12/4/79,12,4,338,1979,25,0.708,pre_accord
12/5/79,12,5,339,1979,25,0.708,pre_accord
12/6/79,12,6,340,1979,25,0.708,pre_accord
12/7/79,12,7,341,1979,25,0.708,pre_accord
12/8/79,12,8,342,1979,25,0.708,pre_accord
12/9/79,12,9,343,1979,25,0.708,pre_accord
12/10/79,12,10,344,1979,25,0.708,pre_accord
12/11/79,12,11,345,1979,25,0.708,pre_accord
12/12/79,12,12,346,1979,25,0.708,pre_accord
12/13/79,12,13,347,1979,25,0.708,pre_accord
12/14/79,12,14,348,1979,25,0.708,pre_accord
12/15/79,12,15,349,1979,25,0.708,pre_accord
12/16/79,12,16,350,1979,25,0.708,pre_accord
12/17/79,12,17,351,1979,25,0.708,pre_accord
12/18/79,12,18,352,1979,25,0.708,pre_accord
12/19/79,12,19,353,1979,25,0.708,pre_accord
12/20/79,12,20,354,1979,25,0.708,pre_accord
12/21/79,12,21,355,1979,25,0.708,pre_accord
12/22/79,12,22,356,1979,25,0.708,pre_accord
12/23/79,12,23,357,1979,25,0.708,pre_accord
12/24/79,12,24,358,1979,247,6.994,pre_accord
12/25/79,12,25,359,1979,121,3.426,pre_accord
12/26/79,12,26,360,1979,41,1.161,pre_accord
12/27/79,12,27,361,1979,25,0.708,pre_accord
12/28/79,12,28,362,1979,25,0.708,pre_accord
12/29/79,12,29,363,1979,25,0.708,pre_accord
12/30/79,12,30,364,1979,55,1.557,pre_accord
12/31/79,12,31,365,1979,25,0.708,pre_accord
1/1/80,1,1,1,1980,25,0.708,pre_accord
1/2/80,1,2,2,1980,25,0.708,pre_accord
1/3/80,1,3,3,1980,25,0.708,pre_accord
1/4/80,1,4,4,1980,25,0.708,pre_accord
1/5/80,1,5,5,1980,25,0.708,pre_accord
1/6/80,1,6,6,1980,25,0.708,pre_accord
1/7/80,1,7,7,1980,25,0.708,pre_accord
1/8/80,1,8,8,1980,25,0.708,pre_accord
1/9/80,1,9,9,1980,25,0.708,pre_accord
1/10/80,1,10,10,1980,25,0.708,pre_accord
1/11/80,1,11,11,1980,303,8.58,pre_accord
1/12/80,1,12,12,1980,934,26.448,pre_accord
1/13/80,1,13,13,1980,450,12.743,pre_accord
1/14/80,1,14,14,1980,482,13.649,pre_accord
1/15/80,1,15,15,1980,153,4.333,pre_accord
1/16/80,1,16,16,1980,220,6.23,pre_accord
1/17/80,1,17,17,1980,56,1.586,pre_accord
1/18/80,1,18,18,1980,74,2.095,pre_accord
1/19/80,1,19,19,1980,76,2.152,pre_accord
1/20/80,1,20,20,1980,35,0.991,pre_accord
1/21/80,1,21,21,1980,25,0.708,pre_accord
1/22/80,1,22,22,1980,25,0.708,pre_accord
1/23/80,1,23,23,1980,25,0.708,pre_accord
1/24/80,1,24,24,1980,25,0.708,pre_accord
1/25/80,1,25,25,1980,25,0.708,pre_accord
1/26/80,1,26,26,1980,25,0.708,pre_accord
1/27/80,1,27,27,1980,25,0.708,pre_accord
1/28/80,1,28,28,1980,25,0.708,pre_accord
1/29/80,1,29,29,1980,25,0.708,pre_accord
1/30/80,1,30,30,1980,25,0.708,pre_accord
1/31/80,1,31,31,1980,25,0.708,pre_accord
2/1/80,2,1,32,1980,19,0.538,pre_accord
2/2/80,2,2,33,1980,16,0.453,pre_accord
2/3/80,2,3,34,1980,16,0.453,pre_accord
2/4/80,2,4,35,1980,16,0.453,pre_accord
2/5/80,2,5,36,1980,16,0.453,pre_accord
2/6/80,2,6,37,1980,16,0.453,pre_accord
2/7/80,2,7,38,1980,16,0.453,pre_accord
2/8/80,2,8,39,1980,16,0.453,pre_accord
2/9/80,2,9,40,1980,16,0.453,pre_accord
2/10/80,2,10,41,1980,16,0.453,pre_accord
2/11/80,2,11,42,1980,16,0.453,pre_accord
2/12/80,2,12,43,1980,16,0.453,pre_accord
2/13/80,2,13,44,1980,16,0.453,pre_accord
2/14/80,2,14,45,1980,16,0.453,pre_accord
2/15/80,2,15,46,1980,114,3.228,pre_accord
2/16/80,2,16,47,1980,1069,30.271,pre_accord
2/17/80,2,17,48,1980,1424,40.323,pre_accord
2/18/80,2,18,49,1980,1037,29.365,pre_accord
2/19/80,2,19,50,1980,1644,46.553,pre_accord
2/20/80,2,20,51,1980,1099,31.12,pre_accord
2/21/80,2,21,52,1980,1016,28.77,pre_accord
2/22/80,2,22,53,1980,409,11.582,pre_accord
2/23/80,2,23,54,1980,196,5.55,pre_accord
2/24/80,2,24,55,1980,121,3.426,pre_accord
2/25/80,2,25,56,1980,125,3.54,pre_accord
2/26/80,2,26,57,1980,70,1.982,pre_accord
2/27/80,2,27,58,1980,53,1.501,pre_accord
2/28/80,2,28,59,1980,58,1.642,pre_accord
